ORF	Gene
YNL171C	YNL171C
YCR023C	YCR023C
YBL071C	YBL071C
YBR089W	YBR089W
YBR206W	YBR206W
YBL113C	YBL113C
YBR116C	YBR116C
YAL037W	YAL037W
YAL065C	YAL065C
YAR023C	YAR023C
YBR184W	YBR184W
YDL109C	YDL109C
YBL053W	YBL053W
YBL062W	YBL062W
YBR090C	YBR090C
YBL083C	YBL083C
YBR141C	BMT2
YBR174C	YBR174C
YAR053W	YAR053W
YBR220C	YBR220C
YAR075W	YAR075W
YBL010C	YBL010C
YBL012C	YBL012C
YBR027C	YBR027C
YDR316W-A	YDR316W-A
YBL073W	YBL073W
YER064C	VHR2
YAL018C	LDS1
YAR009C	YAR009C
YAR030C	YAR030C
YAR060C	YAR060C
YBR028C	YPK3
YBL055C	YBL055C
YBR071W	YBR071W
YBL065W	YBL065W
YBL077W	YBL077W
YCL073C	GEX1
YCR061W	YCR061W
YCL042W	YCL042W
YCR050C	YCR050C
YDL118W	YDL118W
YCR007C	YCR007C
YDL041W	YDL041W
YBR232C	YBR232C
YCR087C-A	YCR087C-A
YDL050C	YDL050C
YDL023C	YDL023C
YBR284W	YBR284W
YAR061W	YAR061W
YBR063C	YBR063C
YBR138C	YBR138C
YBR204C	LDH1
YCR041W	YCR041W
YDL129W	YDL129W
YCR016W	YCR016W
YCL065W	YCL065W
YCR025C	YCR025C
YCR100C	YCR100C
YAR010C	YAR010C
YDL086W	YDL086W
YDL034W	YDL034W
YCL076W	YCL076W
YAR028W	YAR028W
YDL032W	YDL032W
YBR225W	YBR225W
YDL068W	YDL068W
YBL086C	YBL086C
YCL074W	YCL074W
YDL152W	YDL152W
YDL119C	YDL119C
YDL012C	YDL012C
YPL034W	YPL034W
YBR056W	YBR056W
YBR300C	YBR300C
YDL009C	YDL009C
YCR087W	YCR087W
YDL199C	YDL199C
YCR006C	YCR006C
YDL163W	YDL163W
YCR043C	YCR043C
YCR018C-A	YCR018C-A
YDL176W	YDL176W
YBR137W	YBR137W
YAR062W	YAR062W
YBR064W	YBR064W
YBR271W	EFM2
YBR241C	YBR241C
YCR099C	YCR099C
YDL144C	YDL144C
YCR015C	YCR015C
YCR051W	YCR051W
YFL019C	YFL019C
YCR001W	YCR001W
YDL057W	YDL057W
YPR063C	YPR063C
YBR226C	YBR226C
YBR292C	YBR292C
YCR049C	YCR049C
YCR022C	YCR022C
YDL186W	YDL186W
YCL075W	YCL075W
YCR076C	FUB1
YDL011C	YDL011C
YCL056C	PEX34
YLR410W-B	YLR410W-B
YDL094C	YDL094C
YDR286C	YDR286C
YDR348C	PAL1
YDL133W	SRF1
YDL218W	YDL218W
YDR521W	YDR521W
YDR134C	YDR134C
YDR493W	MZM1
YDR431W	YDR431W
YDL025C	RTK1
YCR102C	YCR102C
YDL063C	SYO1
YBR259W	YBR259W
YGL242C	YGL242C
YDL228C	YDL228C
YDL158C	YDL158C
YDR131C	YDR131C
YDR210W-A	YDR210W-A
YDR491C	YDR491C
YDR179W-A	YDR179W-A
YDR261W-A	YDR261W-A
YDR149C	YDR149C
YDL073W	YDL073W
YDR442W	YDR442W
YDR049W	VMS1
YDR274C	YDR274C
YDR338C	YDR338C
YDL071C	YDL071C
YDL156W	CMR1
YCR013C	YCR013C
YDR161W	YDR161W
YDR514C	YDR514C
YDL016C	YDL016C
YDR018C	YDR018C
YDR109C	YDR109C
YCR090C	YCR090C
YDR157W	YDR157W
YDL026W	YDL026W
YBR287W	YBR287W
YCR102W-A	YCR102W-A
YDL242W	YDL242W
YBR285W	YBR285W
YCR101C	YCR101C
YCL068C	YCL068C
YDR170W-A	YDR170W-A
YDR248C	YDR248C
YDR133C	YDR133C
YDR010C	YDR010C
YDL062W	YDL062W
YDR008C	YDR008C
YDL196W	YDL196W
YDL157C	YDL157C
YCL049C	YCL049C
YDR230W	YDR230W
YDR539W	FDC1
YDL124W	YDL124W
YCL007C	YCL007C
YDL027C	YDL027C
YDR048C	YDR048C
YDR271C	YDR271C
YDR098C-A	YDR098C-A
YDL221W	YDL221W
YDR537C	YDR537C
YDR269C	YDR269C
YGL177W	YGL177W
YEL020C	YEL020C
YGL109W	YGL109W
YDR015C	YDR015C
YDR094W	YDR094W
YDR061W	YDR061W
YDR042C	YDR042C
YDR199W	YDR199W
YDR532C	YDR532C
YDR056C	YDR056C
YDR026C	NSI1
YDR417C	YDR417C
YDR476C	YDR476C
YER071C	TDA2
YDR340W	YDR340W
YDR467C	YDR467C
YDR413C	YDR413C
YDR034W-B	YDR034W-B
YIL172C	IMA3
YDR034C-A	YDR034C-A
YDR266C	HEL2
YEL010W	YEL010W
YOL103W-B	YOL103W-B
YEL008W	YEL008W
