YNL171C	0
YOL050C	:::GAL11
YDR455C	:::GUK1
YCL060C	:::MRC1
YDR290W	:::RTT103
YNL235C	:::SIN4
YBR174C	:::SWD3
YMR056C	AAC1
YBR085W	AAC3
YCR107W	AAD3
YDL243C	AAD4
YFL056C	AAD6
YNL141W	AAH1
YHR047C	AAP1
YKL106W	AAT1
YJR108W	ABM1
YCR088W	ABP1
YOR239W	ABP140
YNR033W	ABZ1
YMR289W	ABZ2
YER045C	ACA1
YGR037C	ACB1
YLR131C	ACE2
YLR144C	ACF2
YJR083C	ACF4
YBL015W	ACH1
YDL203C	ACK1
YPL267W	ACM1
YDR511W	ACN9
YAL054C	ACS1
YKL206C	ADD66
YAR015W	ADE1
YLR028C	ADE16
YMR120C	ADE17
YOR128C	ADE2
YMR300C	ADE4
YGL234W	ADE5
YGR061C	ADE6
YDR408C	ADE8
YOL086C	ADH1
YMR303C	ADH2
YGL256W	ADH4
YBR145W	ADH5
YMR318C	ADH6
YCR105W	ADH7
YMR009W	ADI1
YER170W	ADK2
YCR011C	ADP1
YDR216W	ADR1
YCR010C	ADY2
YDL239C	ADY3
YLR227C	ADY4
YMR282C	AEP2
YEL052W	AFG1
YDR085C	AFR1
YGL071W	AFT1
YPL202C	AFT2
YNR044W	AGA1
YGL032C	AGA2
YPR021C	AGC1
YDR524C	AGE1
YIL044C	AGE2
YCL025C	AGP1
YBR132C	AGP2
YFL055W	AGP3
YFL030W	AGX1
YDR214W	AHA1
YOR023C	AHC1
YCR082W	AHC2
YLR109W	AHP1
YHR093W	AHT1
YNR074C	AIF1
YMR092C	AIP1
YIL079C	AIR1
YDL175C	AIR2
YBR059C	AKL1
YOR034C	AKR2
YJL122W	ALB1
YMR170C	ALD2
YMR169c	ALD3
YMR169c	ALD3
YMR169c	ALD3
YMR169c	ALD3
YMR169c	ALD3
YMR169c	ALD3
YMR169c	ALD3
YOR374W	ALD4
YER073W	ALD5
YPL061W	ALD6
YNR030W	ALG12
YBL082C	ALG3
YPL227C	ALG5
YOR002W	ALG6
YOR067C	ALG8
YNL219C	ALG9
YGL021W	ALK1
YBL009W	ALK2
YNL270C	ALP1
YFL050C	ALR2
YLR089C	ALT1
YDR111C	ALT2
YKR021W	ALY1
YJL084C	ALY2
YGR225W	AMA1
YML035C	AMD1
YDR242W	AMD2
YBR158W	AMN1
YGL156W	AMS1
YJR047C	ANB1
YPR128C	ANT1
YCL050C	APA1
YDR530C	APA2
YLR102C	APC9
YBR151W	APD1
YKL157W	APE2
YBR286W	APE3
YDR525W	API2
YNL077W	APJ1
YJR005W	APL1
YBL037W	APL3
YPR029C	APL4
YPL195W	APL5
YGR261C	APL6
YPL259C	APM1
YHL019C	APM2
YBR288C	APM3
YOL062C	APM4
YKL114C	APN1
YBL019W	APN2
YNL094W	APP1
YIL040W	APQ12
YLR170C	APS1
YJR058C	APS2
YJL024C	APS3
YML022W	APT1
YDR441C	APT2
YNL065W	AQR1
YPR192W	AQY1
YLL052C	AQY2
YBR149W	ARA1
YBR149W	ARA1
YBR149W	ARA1
YBR149W	ARA1
YBR149W	ARA1
YBR149W	ARA1
YBR149W	ARA1
YGL105W	ARC1
YLR370C	ARC18
YCR048W	ARE1
YNR019W	ARE2
YDL192W	ARF1
YDL137W	ARF2
YOR094W	ARF3
YOL058W	ARG1
YJL071W	ARG2
YJL088W	ARG3
YHR018C	ARG4
YER069W	ARG5
YMR042W	ARG80
YML099C	ARG81
YDR173C	ARG82
YNL020C	ARK1
YBR164C	ARL1
YPL051W	ARL3
YHL040C	ARN1
YHL047C	ARN2
YDR127W	ARO1
YDR380W	ARO10
YGL148W	ARO2
YDR035W	ARO3
YBR249C	ARO4
YPR060C	ARO7
YGL202W	ARO8
YDR421W	ARO80
YHR137W	ARO9
YHR129C	ARP1
YLR085C	ARP6
YOR141C	ARP8
YPR199C	ARR1
YPR200C	ARR2
YPR201W	ARR3
YLR242C	ARV1
YDR101C	ARX1
YMR116C	ASC1
YOR058C	ASE1
YJL115W	ASF1
YDL197C	ASF2
YIL130W	ASG1
YJL170C	ASG7
YKL185W	ASH1
YMR119W	ASI1
YMR119W	ASI1
YNL159C	ASI2
YNL008C	ASI3
YGR097W	ASK10
YDL088C	ASM4
YPR145W	ASN1
YGR124W	ASN2
YDR321W	ASP1
YPR093C	ASR1
YBL069W	AST1
YER101C	AST2
YDR184C	ATC1
YGL017W	ATE1
YOR377W	ATF1
YGR177C	ATF2
YGL180W	ATG1
YLL042C	ATG10
YBR217W	ATG12
YPR185W	ATG13
YBR128C	ATG14
YCR068W	ATG15
YMR159C	ATG16
YLR423C	ATG17
YFR021W	ATG18
YOL082W	ATG19
YNL242W	ATG2
YDL113C	ATG20
YPL100W	ATG21
YCL038C	ATG22
YLR431C	ATG23
YLR189C	ATG26
YJL178C	ATG27
YPL166W	ATG29
YNR007C	ATG3
YNL223W	ATG4
YPL149W	ATG5
YHR171W	ATG7
YBL078C	ATG8
YDL149W	ATG9
YPR026W	ATH1
YNR002C	ATO2
YDR384C	ATO3
YLR393W	ATP10
YNL315C	ATP11
YML081C-A	ATP18
YJR121W	ATP2
YPR020W	ATP20
YML116W	ATR1
YAL020C	ATS1
YNL259C	ATX1
YOR079C	ATX2
YFL010W-A	AUA1
YOR011W	AUS1
YLR114C	AVL9
YMR068W	AVO2
YJR001W	AVT1
YEL064C	AVT2
YKL146W	AVT3
YNL101W	AVT4
YBL089W	AVT5
YER119C	AVT6
YIL088C	AVT7
YPR122W	AXL1
YIL140W	AXL2
YIL124W	AYR1
YLL063C	AYT1
YOR113W	AZF1
YGR224W	AZR1
YOR134W	BAG7
YBR068C	BAP2
YDR046C	BAP3
YIL015W	BAR1
YKR099W	BAS1
YJR148W	BAT2
YJL020C	BBC1
YMR237W	BCH1
YKR027W	BCH2
YJL095W	BCK1
YER167W	BCK2
YDR375C	BCS1
